continentLabel,mountainLabel,latitude,longitude
Австралия,Mount Bogong,-36.7325,147.305833333
Австралия,Косцюшко,-36.4558303,148.2635105
Австралия,Mount Ossa,-41.871025,146.033344444
Австралия,Mount Bartle Frere,-17.383333333,145.816666666
Австралия,Бейтс,-29.0112306,167.939961
Австралия,Mount Wycheproof,-36.076944444,143.233888888
Австралия,Mount Donna Buang,-37.706388888,145.681111111
Австралия,Mount Buffalo,-36.777,146.767
Австралия,Mount Dandenong,-37.827158,145.352823
Азия,Дайсецудзан (планински масив),43.65,142.85
Азия,Mount Talamau,0.079166666,99.983333333
Азия,Mount Chōkai,39.099166666,140.048888888
Азия,Авачинска сопка,53.255,158.832777777
Азия,Авачинска сопка,53.255555555,158.833333333
Азия,Kronotsky,54.75,160.516666666
Азия,Kronotsky,54.75,160.516666666
Азия,Kronotsky,54.75262,160.53201
Азия,Kronotsky,54.75262,160.53201
Азия,Mount Pulosari,-6.341666666,105.978333333
Азия,Shiveluch,56.653633333,161.362966666
Азия,Mount Butak,-7.92,112.45
Азия,Mount Kaba,-3.52,102.62
Азия,Ключевская Сопка,56.066666666,160.633333333
Азия,Вулкан на Саричев,48.090555555,153.201388888
Азия,Вулкан на Саричев,48.090555555,153.201388888
Азия,Abu,34.5,131.6
Азия,Akademia Nauk,53.966666666,159.45
Азия,Mount Akagi,36.560833333,139.193611111
Азия,Тятя,44.353888888,146.250833333
Азия,Тятя,44.35408,146.25099
Азия,Makian,0.333333333,127.366666666
Азия,Алаид,50.858888888,155.557222222
Азия,Lamanon,48.7,142.1
Азия,Kawi-Butak,-7.92,112.45
Азия,Kawi-Butak,-7.92,112.45
Азия,Казбек,42.696944444,44.518888888
Азия,Ключевская Сопка,56.066666666,160.633333333
Азия,Мунку Сардък,51.7188331,100.5970552
Азия,Akademia Nauk,53.966666666,159.45
Азия,"Murray Hill, Christmas Island",-10.483333333,105.580833333
Азия,Berill Mountain,62.395833333,141.326666666
Азия,Tordoki Yani,48.897222222,138.052777777
Азия,Елбрус,43.35254,42.437875
Азия,Shiveluch,56.653633333,161.362966666
Азия,Арарат,39.701944444,44.298333333
Азия,Белуха,49.806944444,86.589722222
Азия,Базардюзю,41.2204928,47.8583417
Азия,Победа,65.177266666,146.008644444
Азия,Авачинска сопка,53.255,158.832777777
Азия,Авачинска сопка,53.255555555,158.833333333
Азия,Олимп,34.936666666,32.863888888
Азия,Mus-Khaya,62.583333333,140.9
Азия,Mus-Khaya,62.583333333,140.9
Азия,Mount Livadiyskaya,43.066666666,132.683333333
Азия,Южночуйски хребет,49.8167,87.65
Азия,Южночуйски хребет,49.726944444,88.023055555
Азия,Севернобайкалски планини,56.40818611,111.1019833
Азия,Севернобайкалски планини,57.0,111.0
Азия,Mount Kholodilnik,43.145277777,131.94
Азия,Lalveri,43.070833333,43.016111111
Азия,Lalveri,43.070833333,43.016111111
Азия,Южен Алтай,49.10027779,87.49722223
Азия,Южен Алтай,49.10027779,87.49722223
Азия,Башчелакски хребет,51.345,84.124166666
Азия,Башчелакски хребет,51.287061,84.329489
Азия,Q4143416,43.158333333,132.017777777
Азия,Q4257139,75.877777777,107.809166666
Азия,Oblachnaya,43.695833333,134.198888888
Азия,Кйпарисовоуно,35.3194444,33.1616667
Азия,Iskhodnaya,67.81621,178.2947267
Азия,Mount Pulosari,-6.341666666,105.978333333
Азия,Mount Butak,-7.92,112.45
Азия,Сакураджима,31.580555555,130.658055555
Азия,Мерапи,-7.541388888,110.446111111
Азия,Mount Kaba,-3.52,102.62
Азия,Mount Sinabung,3.17,98.391944444
Азия,Казбек,42.696944444,44.518888888
Азия,Semeru,-8.1,112.916666666
Азия,Mount Adatara,37.633333333,140.283333333
Азия,Mount Egon,-8.666666666,122.45
Азия,Amasing Hill,-0.532222222,127.498055555
Азия,Апо,6.9875,125.270833333
Азия,Mount Lamongan,-7.979,113.342
Азия,Ijen,-8.058,114.242
Азия,Mount Salak,-6.715833333,106.733611111
Азия,Batu Tara,-7.791666666,123.579166666
Азия,Mount Kerinci,-1.696944,101.264444
Азия,Mount Besar,-4.437222222,103.671388888
Азия,Bibinoi Hill,-0.766666666,127.716666666
Азия,Kronotsky,54.75,160.516666666
Азия,Kronotsky,54.75,160.516666666
Азия,Kronotsky,54.75262,160.53201
Азия,Kronotsky,54.75262,160.53201
Азия,Cagua Volcano,18.221666666,122.123333333
Азия,Dolok Lubuk Raya,1.478,99.209
Азия,Mount Haruna,36.476944444,138.878055555
Азия,Pulau Krakatau,-6.1525,105.444269
Азия,Rokatenda,-8.316666666,121.708333333
Азия,Mount Gamkonora,1.38,127.53
Азия,Gunungapi Wetar,-6.641666666,126.65
Азия,Lewotolo,-8.272,123.505
Азия,Dieng Volcanic Complex,-7.2,109.92
Азия,Mount Ruang,2.305,125.365
Азия,Mount Sibayak,3.239166666,98.505555555
Азия,Iliboleng,-8.344,123.252
Азия,Казбек,42.696944444,44.518888888
Азия,Апо,6.9875,125.270833333
Азия,Shinmoedake,31.9096,130.88642
Азия,Minami-Hiyoshi Seamount,23.497972222,141.929083333
Азия,Kaikata Seamount,26.666667,140.929167
Азия,Kaikata Seamount,26.666667,141.0
Азия,Akhtang,55.43,158.65
Азия,Халасан,33.35,126.516666666
Азия,Lewotobi,-8.533333333,122.766666666
Азия,Mount Kawi,-7.92,112.45
Азия,Mount Mahawu,1.358,124.858
Азия,Mount Empung,1.37423,124.80324
Азия,Mount Tongkoko,1.52,125.2
Азия,Inierie,-8.875,120.95
Азия,Ililabalekan,-8.55,123.38
Азия,Mount Hutapanjang,-2.33,101.6
Азия,Kiaraberes-Gagak,-6.73,106.65
Азия,Bukit Lumut Balai,-4.22,103.62
Азия,Pulau Moti,0.456942,127.410831
Азия,Gunung Halimun,-6.710428,106.451239
Азия,Gora Ulun,50.508888888,134.326388888
Азия,Q137460484,54.104444444,110.038611111
Азия,Minami-Hiyoshi Seamount,23.497972222,141.929083333
Азия,Ilimuda,-8.478,122.671
Азия,Mount Nila,-6.73,129.5
Азия,Mount Kunyit,-2.275833333,101.49
Азия,Вулкан на Саричев,48.090555555,153.201388888
Азия,Вулкан на Саричев,48.090555555,153.201388888
Азия,Mount Chōkai,39.099166666,140.048888888
Азия,Mount Haruna,36.476944444,138.878055555
Азия,Q132649168,63.641388888,147.843611111
Азия,Храмов хълм,31.777777777,35.235555555
Азия,Cagua Volcano,18.221666666,122.123333333
Азия,Kaikata Seamount,26.666667,140.929167
Азия,Kaikata Seamount,26.666667,141.0
Америка,Descabezado Grande,-35.583333333,-70.75
Америка,Маунт Сенери,17.635,-63.239166666
Америка,Серо Ел Муерто,-27.0575,-68.483888888
Америка,Volcán de Agua,14.465,-90.742777777
Америка,Puracé,2.314166666,-76.394166666
Америка,Volcán Wolf,0.033333333,-91.333333333
Америка,Alcedo Volcano,-0.396583,-91.109104
Америка,Incahuasi,-27.033333333,-68.3
Америка,Мармолехо,-33.717129,-69.864514
Америка,Morne Watt,15.307,-61.305
Америка,Tacora,-17.716666666,-69.766666666
Америка,Tacora,-17.716666666,-69.766666666
Америка,Tacora,-17.716666666,-69.766666666
Америка,Volcán San Pedro,14.655833333,-91.265833333
Америка,Volcán San Pedro,14.6559,-91.2659
Америка,Nevados de Chillán,-36.863333333,-71.376666666
Америка,Сан Хосе,-33.781666666,-69.897222222
Америка,Los Patos,-27.301111111,-68.808888888
Америка,Tecuamburro,14.156111111,-90.406944444
Америка,Volcán Darwin,-0.183333333,-91.283333333
Америка,Сан Педро,-21.887777777,-68.391388888
Америка,Aguas Calientes,-23.368333333,-67.685
Америка,Q2861446,-24.416944,-67.9875
Америка,Ata volcano,-27.1819,-68.5762
Америка,Salín,-24.3317,-68.0639
Америка,Callaqui,-37.916666666,-71.45
Америка,Carrán-Los Venados,-40.308,-72.07
Америка,Peak Pantojo,-40.768164,-71.94312215
Америка,Santa Isabel,4.81666667,-75.36666667
Америка,Suchitan,14.333333333,-89.78
Америка,Volcán Huequi,-42.376666666,-72.578055555
Америка,Volcán Huequi,-42.36333,-72.57472
Америка,Linzor,-22.15,-67.96667
Америка,Linzor,-22.15,-67.966666666
Америка,Cerro Macá,-45.105833333,-73.169166666
Америка,Tahual,14.43,-89.9
Америка,Antuco,-37.41,-71.351111111
Америка,Ластариа,-25.166666666,-68.5
Америка,Mount Shishaldin,54.75,-163.966666666
Америка,Ccarhuarazo,-14.33194444,-73.75694444
Америка,Pacaya,14.380833333,-90.601111111
Америка,Aucanquilcha,-21.220833333,-68.468333333
Америка,Mount Redoubt,60.485277777,-152.743055555
Америка,Tunupa volcano,-19.83,-67.64
Америка,Volcán de Fuego,14.474722222,-90.880833333
Америка,Калбуко,-41.332777777,-72.611111111
Америка,Cerro Azul,-35.653333333,-70.760833333
Америка,Mount Hudson,-45.92,-72.95
